ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCH_NAME,primary,secondary,SY
0494,04940205,Pioneer Charter School of Science (District),Pioneer Charter School of Science,12,2,3,0,0,0,0,7,4,0,0,7,5,0,Pioneer Charter School of Science,324,62,2018
0605,06050505,Amherst-Pelham,Amherst Regional High,20,0,7,1,2,0,0,10,3,1,0,10,10,0,Amherst Regional High,0,120,2018
0640,06400505,Concord-Carlisle,Concord Carlisle High,1, , , , , , , , , , , , , ,Concord Carlisle High,0,130,2018
0645,06450505,Dennis-Yarmouth,Dennis-Yarmouth Regional High,23,0,3,3,0,0,0,17,5,1,0,1,22,0,Dennis-Yarmouth Regional High,10,204,2018
0655,06550505,Dover-Sherborn,Dover-Sherborn Regional High,1, , , , , , , , , , , , , ,Dover-Sherborn Regional High,0,62,2018
0658,06580505,Dudley-Charlton Reg,Shepherd Hill Regional High,17,1,0,0,0,0,0,16,2,0,0,3,14,0,Shepherd Hill Regional High,0,79,2018
0660,06600505,Nauset,Nauset Regional High,1, , , , , , , , , , , , , ,Nauset Regional High,0,11,2018
0665,06650505,Freetown-Lakeville,Apponequet Regional High,3, , , , , , , , , , , , , ,Apponequet Regional High,0,28,2018
0670,06700505,Frontier,Frontier Regional,7,0,1,1,0,0,0,5,0,1,0,0,7,0,Frontier Regional,153,101,2018
0675,06750505,Hamilton-Wenham,Hamilton-Wenham Regional High,18,0,1,1,1,0,0,15,0,1,0,6,12,0,Hamilton-Wenham Regional High,0,18,2018
0683,06830505,Hampshire,Hampshire Regional High,8,0,0,0,0,0,0,8,0,0,0,1,7,0,Hampshire Regional High,0,24,2018
0690,06900505,King Philip,King Philip Regional High,1, , , , , , , , , , , , , ,King Philip Regional High,0,32,2018
0695,06950505,Lincoln-Sudbury,Lincoln-Sudbury Regional High,53,1,4,2,3,0,0,43,1,1,0,15,38,0,Lincoln-Sudbury Regional High,0,441,2018
0700,07000505,Martha's Vineyard,Martha's Vineyard Regional High,17,1,0,0,1,0,0,15,0,0,1,3,14,0,Martha's Vineyard Regional High,0,53,2018
0705,07050505,Masconomet,Masconomet Regional High School,26,0,2,0,0,0,0,24,2,0,0,1,25,0,Masconomet Regional High School,0,214,2018
0710,07100510,Mendon-Upton,Nipmuc Regional High,11,0,0,0,0,0,0,11,0,0,0,9,2,0,Nipmuc Regional High,0,31,2018
0715,07150505,Mount Greylock,Mt Greylock Regional High,2, , , , , , , , , , , , , ,Mt Greylock Regional High,0,15,2018
0725,07250505,Nashoba,Nashoba Regional,11,0,0,1,2,0,0,8,0,0,0,1,10,0,Nashoba Regional,0,136,2018
0730,07300505,Northboro-Southboro,Algonquin Regional High,21,1,6,0,0,1,0,13,0,0,0,4,17,0,Algonquin Regional High,0,458,2018
0735,07350505,North Middlesex,North Middlesex Regional,2, , , , , , , , , , , , , ,North Middlesex Regional,0,55,2018
0745,07450505,Pentucket,Pentucket Regional Sr High,23,0,1,0,0,0,0,22,1,0,0,5,18,0,Pentucket Regional Sr High,0,23,2018
0750,07500505,Pioneer Valley,Pioneer Valley Regional,8,0,0,0,0,0,0,8,2,0,0,1,7,0,Pioneer Valley Regional,0,14,2018
0753,07530505,Quabbin,Quabbin Regional High School,2, , , , , , , , , , , , , ,Quabbin Regional High School,0,96,2018
0760,07600505,Silver Lake,Silver Lake Regional High,49,0,0,0,0,0,0,49,0,1,0,7,42,0,Silver Lake Regional High,1,245,2018
0766,07660505,Southwick-Tolland-Granville Regional School District,Southwick Regional School,16,0,1,0,0,0,0,15,1,0,0,10,6,0,Southwick Regional School,0,43,2018
0770,07700505,Tantasqua,Tantasqua Regional Sr High,5, , , , , , , , , , , , , ,Tantasqua Regional Sr High,0,65,2018
0770,07700605,Tantasqua,Tantasqua Regional Vocational,2, , , , , , , , , , , , , ,Tantasqua Regional Vocational,0,38,2018
0773,07730505,Triton,Triton Regional High School,7,0,0,0,0,0,0,7,0,0,0,0,7,0,Triton Regional High School,0,58,2018
0805,08050605,Blackstone Valley Regional Vocational Technical,Blackstone Valley,7,0,0,1,0,0,0,6,1,0,0,0,7,0,Blackstone Valley,0,81,2018
0818,08180605,Franklin County Regional Vocational Technical,Franklin County Technical,6,0,0,1,0,0,0,5,4,2,0,2,4,0,Franklin County Technical,0,6,2018
0828,08280605,Greater Lowell Regional Vocational Technical,Gr Lowell Regional Vocational Technical,26,0,3,4,2,0,0,17,9,2,0,6,20,0,Gr Lowell Regional Vocational Technical,0,36,2018
0829,08290605,South Middlesex Regional Vocational Technical,Joseph P Keefe Technical High School,14,1,0,4,0,0,0,9,4,3,0,2,12,0,Joseph P Keefe Technical High School,0,36,2018
,,Massachussets,Massachussets,2624,162,488,168,81,4,2,1667,281,82,13,679,1893,0,Massachussets,3595,18382,2018
