School Code,District,School Name,# STUDENTS ENROLLED ,# STUDENTS ENROLLED PRIOR TO SECONDARY LEVEL,# STUDENTS ENROLLED AT SECONDARY LEVEL
1600330,Lowell,Henry J Robinson Middle,612,612,0
1600340,Lowell,James Sullivan Middle School,631,631,0
1600345,Lowell,Dr An Wang School,3,3,0
1600360,Lowell,Kathryn P. Stoklosa Middle School,5,5,0
1600505,Lowell,Lowell High,223,0,223
1600515,Lowell,The Career Academy,10,0,10
1610020,Ludlow,Chapin Street Elementary School,1,1,0
1610023,Ludlow,Veterans Park Elementary,225,225,0
1610305,Ludlow,Paul R Baird Middle,267,267,0
1610505,Ludlow,Ludlow Senior High,76,0,76
1620025,Lunenburg,Turkey Hill Elementary School,3,3,0
1620305,Lunenburg,Lunenburg Middle School,148,148,0
1630004,Lynn,Early Childhood Center,1,1,0
1630005,Lynn,Washington Elementary School,1,1,0
1630016,Lynn,A Drewicz Elementary,1,1,0
1630020,Lynn,Brickett Elementary,3,3,0
1630030,Lynn,Julia F Callahan,2,2,0
1630035,Lynn,Cobbet Elementary,6,6,0
1630040,Lynn,Wm P Connery,5,5,0
1630045,Lynn,E J Harrington,1,1,0
1630050,Lynn,Robert L Ford,6,6,0
1630055,Lynn,Hood,1,1,0
1630060,Lynn,Ingalls,6,6,0
1630070,Lynn,Lincoln-Thomson,3,3,0
1630075,Lynn,Lynn Woods,1,1,0
1630085,Lynn,Sewell-Anderson,1,1,0
1630090,Lynn,Capt William G Shoemaker,4,4,0
1630095,Lynn,Edward A Sisson,2,2,0
1630100,Lynn,Tracy,2,2,0
1630305,Lynn,Thurgood Marshall Mid,6,6,0
1630405,Lynn,Breed Middle School,9,9,0
1630420,Lynn,Pickering Middle,1,1,0
1630505,Lynn,Classical High,533,0,533
1630510,Lynn,Lynn English High,340,0,340
1630525,Lynn,Fecteau-Leary Junior/Senior High School,3,1,2
1630605,Lynn,Lynn Vocational Technical Institute,275,0,275
1640010,Lynnfield,Huckleberry Hill,1,1,0
1640405,Lynnfield,Lynnfield Middle School,504,504,0
1640505,Lynnfield,Lynnfield High,18,0,18
1650003,Malden,Beebe,383,383,0
1650013,Malden,Ferryway,412,412,0
1650027,Malden,Forestdale,242,242,0
1650047,Malden,Linden,391,391,0
1650057,Malden,Salemwood,424,424,0
1650505,Malden,Malden High,25,0,25
1670007,Mansfield,Everett W Robinson,3,3,0
1670014,Mansfield,Jordan/Jackson Elementary,2,2,0
1670035,Mansfield,Harold L Qualters Middle,580,580,0
1670505,Mansfield,Mansfield High,228,0,228
1680005,Marblehead,Malcolm L Bell,1,1,0
1680015,Marblehead,Elbridge Gerry,1,1,0
1680300,Marblehead,Marblehead Veterans Middle School,448,448,0
1680505,Marblehead,Marblehead High,15,0,15
1700045,Marlborough,1 LT Charles W. Whitcomb School,1347,1347,0
1700505,Marlborough,Marlborough High,381,0,381
1710005,Marshfield,Eames Way School,1,1,0
1710015,Marshfield,Daniel Webster,2,2,0
1710020,Marshfield,Gov Edward Winslow,1,1,0
1710025,Marshfield,Martinson Elementary,2,2,0
1710310,Marshfield,Furnace Brook Middle,558,558,0
1710505,Marshfield,Marshfield High,444,0,444
1720005,Mashpee,Kenneth Coombs School,342,342,0
1720035,Mashpee,Quashnet School,488,488,0
1720505,Mashpee,Mashpee High,41,0,41
1730005,Mattapoisett,Center,209,209,0
1730010,Mattapoisett,Old Hammondtown,202,202,0
1740305,Maynard,Fowler School,429,429,0
1740505,Maynard,Maynard High,17,0,17
1750305,Medfield,Thomas Blake Middle,380,380,0
1750505,Medfield,Medfield Senior High,55,0,55
1760068,Medford,John J McGlynn Elementary School,494,494,0
1760130,Medford,Brooks School,483,483,0
1760140,Medford,Christopher Columbus,381,381,0
1760150,Medford,Milton Fuller Roberts,539,539,0
1760315,Medford,Madeleine Dugger Andrews,494,494,0
1760320,Medford,John J. McGlynn Middle School,466,466,0
1760505,Medford,Medford High,35,0,35
1770015,Medway,Burke/Memorial Elementary School,169,169,0
1770305,Medway,Medway Middle,646,646,0
1770505,Medway,Medway High,78,0,78
1780305,Melrose,Melrose Middle,282,282,0
1780505,Melrose,Melrose High,61,0,61
1810030,Methuen,Marsh Grammar School,3,3,0
1810050,Methuen,Comprehensive Grammar School,3,3,0
1810055,Methuen,Tenney Grammar School,6,6,0
1810060,Methuen,Donald P Timony Grammar,6,6,0
1810505,Methuen,Methuen High,258,0,258
1820008,Middleborough,Henry B. Burkland Elementary School,564,564,0
1820010,Middleborough,Mary K. Goode Elementary School,576,576,0
1820011,Middleborough,Memorial Early Childhood Center,231,231,0
1820305,Middleborough,John T. Nichols Middle,788,788,0
1820505,Middleborough,Middleborough High,303,0,303
1840003,Middleton,Fuller Meadow,155,155,0
1840005,Middleton,Howe-Manning,379,379,0
1850090,Milford,Woodland,960,960,0
1850305,Milford,Stacy Middle,768,768,0
1850505,Milford,Milford High,94,0,94
1860017,Millbury,Elmwood Street,508,508,0
1860025,Millbury,Raymond E. Shaw Elementary,433,433,0
1860505,Millbury,Millbury Junior/Senior High,407,249,158
1870020,Millis,Millis Middle,82,82,0
1870505,Millis,Millis High School,110,0,110
1890020,Milton,Tucker,2,2,0
1890410,Milton,Charles S Pierce Middle,367,367,0
