ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCHOOL,primary,secondary,SY,AP1,AP2,AP3,AP4,AP5
0625,06250505,Bridgewater-Raynham,Bridgewater-Raynham Regional,13,0,0,0,1,0,0,12,0,0,0,3,10,0,06250505,0,449,2017,19,32,31,12,4
0640,06400505,Concord-Carlisle,Concord Carlisle High,1, , , , , , , , , , , , , ,06400505,0,109,2017,3,10,30,43,71
0645,06450505,Dennis-Yarmouth,Dennis-Yarmouth Regional High,20,0,3,1,0,0,0,16,1,0,0,2,18,0,06450505,0,194,2017,19,13,19,11,4
0655,06550505,Dover-Sherborn,Dover-Sherborn Regional High,1, , , , , , , , , , , , , ,06550505,0,48,2017,6,3,26,27,38
0658,06580505,Dudley-Charlton Reg,Shepherd Hill Regional High,17,0,1,1,0,0,0,15,2,0,0,3,13,1,06580505,0,77,2017,48,54,47,15,9
0660,06600505,Nauset,Nauset Regional High,1, , , , , , , , , , , , , ,06600505,0,43,2017,12,16,27,18,7
0665,06650505,Freetown-Lakeville,Apponequet Regional High,1, , , , , , , , , , , , , ,06650505,0,106,2017,1,5,2,6,4
0670,06700505,Frontier,Frontier Regional,11,0,0,0,1,0,0,10,1,0,0,0,11,0,06700505,168,62,2017,0,2,5,11,14
0675,06750505,Hamilton-Wenham,Hamilton-Wenham Regional High,21,0,1,0,1,0,0,19,1,0,0,0,21,0,06750505,0,21,2017,15,26,25,18,16
0680,06800505,Hampden-Wilbraham,Minnechaug Regional High,9,0,0,0,0,0,0,9,1,0,0,2,7,0,06800505,0,102,2017,0,2,10,8,33
0683,06830505,Hampshire,Hampshire Regional High,3, , , , , , , , , , , , , ,06830505,0,19,2017,1,11,12,5,3
0690,06900505,King Philip,King Philip Regional High,5, , , , , , , , , , , , , ,06900505,0,31,2017,27,28,45,36,31
0700,07000505,Martha's Vineyard,Martha's Vineyard Regional High,13,0,0,1,0,0,0,12,0,2,1,1,12,0,07000505,0,50,2017,12,10,16,7,8
0705,07050505,Masconomet,Masconomet Regional High School,25,0,0,1,0,0,0,24,0,1,0,4,21,0,07050505,0,230,2017,2,16,24,23,10
0710,07100510,Mendon-Upton,Nipmuc Regional High,14,0,1,0,2,0,0,11,0,0,0,4,10,0,07100510,0,58,2017,11,17,35,17,11
0725,07250505,Nashoba,Nashoba Regional,38,0,2,1,2,1,0,32,0,0,0,14,24,0,07250505,0,169,2017,4,21,30,31,34
0730,07300505,Northboro-Southboro,Algonquin Regional High,9,1,1,0,0,0,1,6,0,0,0,1,8,0,07300505,1,425,2017,6,9,29,42,63
0735,07350505,North Middlesex,North Middlesex Regional,1, , , , , , , , , , , , , ,07350505,0,96,2017,6,16,10,5,1
0753,07530505,Quabbin,Quabbin Regional High School,30,0,1,1,0,0,0,28,2,1,0,6,24,0,07530505,0,110,2017,15,21,19,11,2
0760,07600505,Silver Lake,Silver Lake Regional High,13,0,0,0,0,0,0,13,0,0,0,2,11,0,07600505,0,199,2017,9,21,50,31,15
0763,07630505,Somerset Berkley Regional School District,Somerset Berkley Regional High School,1, , , , , , , , , , , , , ,07630505,0,71,2017,5,11,12,19,7
0767,07670505,Spencer-E Brookfield,David Prouty High,1, , , , , , , , , , , , , ,07670505,0,103,2017,3,7,5,3,0
0770,07700505,Tantasqua,Tantasqua Regional Sr High,13,0,0,0,0,0,0,13,1,0,0,2,11,0,07700505,0,73,2017,3,3,8,20,22
0773,07730505,Triton,Triton Regional High School,6,0,0,0,0,0,0,6,0,1,0,0,6,0,07730505,0,70,2017,13,8,17,12,17
0805,08050605,Blackstone Valley Regional Vocational Technical,Blackstone Valley,2, , , , , , , , , , , , , ,08050605,0,58,2017,28,19,9,3,1
0818,08180605,Franklin County Regional Vocational Technical,Franklin County Technical,9,0,0,0,0,0,0,9,3,3,0,0,9,0,08180605,0,14,2017,30,7,6,3,0
0829,08290605,South Middlesex Regional Vocational Technical,Joseph P Keefe Technical High School,12,0,0,3,1,0,0,8,3,1,0,5,7,0,08290605,0,32,2017,3,3,5,2,1
0852,08520605,Nashoba Valley Regional Vocational Technical,Nashoba Valley Technical High School,9,0,0,0,1,0,0,8,0,1,0,1,8,0,08520605,0,9,2017,14,4,3,1,0
0860,08600605,Pathfinder Regional Vocational Technical,Pathfinder Vocational Technical,17,0,0,2,1,1,0,13,5,0,0,5,12,0,08600605,0,17,2017,,,,,
3902,39020900,TEC Connections Academy Commonwealth Virtual School District,TEC Connections Academy Commonwealth Virtual School,1, , , , , , , , , , , , , ,39020900,451,102,2017,,,,,
,,Massachussets,Massachussets,1976,93,334,113,55,2,3,1317,186,52,10,417,1499,1,,2611,15990,2017,1311,1699,2640,2503,2896
